,BuildingType,ComplianceStatus,ENERGYSTARScore,Electricity(kBtu),LargestPropertyUseType,NaturalGas(kBtu),Neighborhood,NumberofBuildings,NumberofFloors,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SourceEUI(kBtu/sf),SteamUse(kBtu),YearBuilt,TotalEmissionGES
643,NonResidential,Compliant,75.0,5860169.0,Supermarket/Grocery Store,3726630.0,EAST,1.0,3.0,Supermarket/Grocery Store,119190,0,207.1,9586556.0,482.1,0.0,1996,238.77
644,NonResidential,Compliant,,2014805.0,Automobile Dealership,0.0,GREATER DUWAMISH,1.0,2.0,Other,51856,0,38.9,2014721.0,122.0,0.0,2008,14.05
645,NonResidential,Compliant,21.0,4751288.0,Office,0.0,GREATER DUWAMISH,1.0,3.0,Small- and Mid-Sized Office,53552,12586,89.2,4751090.0,280.0,0.0,1921,33.12
646,NonResidential,Compliant,1.0,17925041.0,Office,120.0,NORTHEAST,1.0,3.0,Large Office,65434,48510,273.9,17924416.0,860.1,0.0,1960,124.96
647,Multifamily LR (1-4),Compliant,69.0,823529.0,Multifamily Housing,0.0,NORTHWEST,1.0,4.0,Low-Rise Multifamily,31334,0,26.3,823495.0,82.5,0.0,1976,5.74
648,Multifamily LR (1-4),Compliant,84.0,1123046.0,Multifamily Housing,0.0,LAKE UNION,1.0,3.0,Low-Rise Multifamily,47658,0,23.6,1122999.0,74.0,0.0,2005,7.83
649,NonResidential,Compliant,94.0,1609823.0,,0.0,LAKE UNION,1.0,3.0,Mixed Use Property,56986,36093,28.2,1609757.0,88.7,0.0,2000,11.22
650,Multifamily LR (1-4),Compliant,69.0,678871.0,Multifamily Housing,0.0,MAGNOLIA / QUEEN ANNE,1.0,3.0,Low-Rise Multifamily,24059,0,28.2,678843.0,88.6,0.0,1962,4.73
651,Multifamily LR (1-4),Compliant,83.0,2581938.0,,5749173.0,CENTRAL,1.0,3.0,Senior Care Community,66402,0,62.7,8331004.0,106.5,0.0,1963,323.34
652,Multifamily LR (1-4),Compliant,65.0,1777079.0,Multifamily Housing,0.0,NORTHEAST,1.0,4.0,Low-Rise Multifamily,60487,15798,29.4,1777005.0,92.2,0.0,1988,12.39
653,Multifamily LR (1-4),Compliant,95.0,807392.0,Multifamily Housing,0.0,NORTHEAST,1.0,3.0,Low-Rise Multifamily,29914,16959,27.0,807358.0,84.7,0.0,1990,5.63
654,Multifamily LR (1-4),Compliant,,642160.0,Multifamily Housing,0.0,NORTHEAST,1.0,3.0,Low-Rise Multifamily,23937,3223,27.7,642133.0,87.0,0.0,1998,4.48
655,NonResidential,Compliant,83.0,317728.0,Worship Facility,479720.0,NORTHEAST,1.0,2.0,Worship Facility,22220,0,35.9,797435.0,67.6,0.0,1957,27.69
656,SPS-District K-12,Compliant,89.0,737395.0,K-12 School,1460700.0,NORTHEAST,1.0,1.0,K-12 School,46732,0,43.1,2198064.0,75.5,0.0,1955,82.72
657,Multifamily MR (5-9),Compliant,100.0,3704682.0,Multifamily Housing,1287638.0,BALLARD,1.0,6.0,Mid-Rise Multifamily,152693,0,22.4,4992165.0,58.4,0.0,2000,94.21
658,Multifamily LR (1-4),Compliant,77.0,296087.0,Multifamily Housing,1092278.0,NORTHWEST,1.0,2.0,Low-Rise Multifamily,26211,0,53.0,1388352.0,79.2,0.0,1959,60.07
659,Multifamily LR (1-4),Compliant,,1279992.0,Multifamily Housing,1024186.0,GREATER DUWAMISH,1.0,2.0,Low-Rise Multifamily,28260,0,86.5,2304125.0,191.3,0.0,1914,63.32
660,NonResidential,Compliant,,1717298.0,Office,347930.0,GREATER DUWAMISH,1.0,1.0,Mixed Use Property,44700,0,43.1,2065156.0,120.3,0.0,1962,30.45
661,NonResidential,Compliant,1.0,1696079.0,Non-Refrigerated Warehouse,0.0,GREATER DUWAMISH,1.0,1.0,Non-Refrigerated Warehouse,44100,0,42.4,1696009.0,133.1,0.0,1976,11.82
662,NonResidential,Compliant,10.0,904675.0,Distribution Center,405843.0,GREATER DUWAMISH,1.0,1.0,"Distribution Center
",27800,0,47.1,1310481.0,117.5,0.0,1965,27.86
663,Multifamily HR (10+),Compliant,,2700260.0,Multifamily Housing,2844532.0,DOWNTOWN,1.0,11.0,High-Rise Multifamily,321945,0,58.5,7243389.0,109.0,1698709.0,1910,301.02
664,NonResidential,Compliant,3.0,2438531.0,Non-Refrigerated Warehouse,0.0,GREATER DUWAMISH,1.0,1.0,Non-Refrigerated Warehouse,46340,0,52.6,2438430.0,165.2,0.0,2001,17.0
665,Campus,Compliant,,235427.0,Manufacturing/Industrial Plant,1716031.0,GREATER DUWAMISH,1.0,1.0,Other,22800,0,85.6,1951448.0,111.4,0.0,1994,92.78
666,Multifamily LR (1-4),Compliant,,578813.0,Multifamily Housing,0.0,CENTRAL,1.0,4.0,Mixed Use Property,22852,14997,25.3,578789.0,79.5,0.0,2005,4.03
667,NonResidential,Compliant,74.0,1348677.0,Office,508766.0,CENTRAL,1.0,3.0,Small- and Mid-Sized Office,38460,0,48.3,1857387.0,124.0,0.0,1910,36.42
668,Multifamily MR (5-9),Compliant,,1891033.0,Multifamily Housing,965980.0,SOUTHWEST,1.0,6.0,Mid-Rise Multifamily,86955,0,32.9,2856934.0,79.9,0.0,2003,64.49
669,Multifamily HR (10+),Compliant,75.0,6447306.0,Multifamily Housing,221.0,MAGNOLIA / QUEEN ANNE,1.0,11.0,High-Rise Multifamily,194919,91489,33.1,6447259.0,103.9,0.0,2003,44.96
670,Multifamily LR (1-4),Compliant,91.0,1828411.0,Multifamily Housing,426056.0,SOUTHWEST,1.0,4.0,Mixed Use Property,20214,72900,35.5,2254391.0,97.5,0.0,2002,35.37
671,Multifamily LR (1-4),Compliant,,518198.0,Multifamily Housing,200186.0,SOUTHWEST,1.0,4.0,Low-Rise Multifamily,21888,0,32.8,718362.0,83.9,0.0,1992,14.24
672,Multifamily MR (5-9),Compliant,45.0,1929908.0,Multifamily Housing,0.0,DOWNTOWN,1.0,7.0,Mid-Rise Multifamily,66849,0,28.9,1929828.0,90.6,0.0,2002,13.45
673,NonResidential,Compliant,81.0,75200.0,Worship Facility,608959.0,NORTHWEST,1.0,2.0,Worship Facility,21022,0,32.5,684155.0,41.6,0.0,1922,32.87
674,Multifamily LR (1-4),Compliant,73.0,651643.0,Multifamily Housing,0.0,SOUTHWEST,1.0,4.0,Low-Rise Multifamily,30240,0,25.9,651616.0,81.2,0.0,1926,4.54
675,Multifamily MR (5-9),Compliant,53.0,1699404.0,Multifamily Housing,805463.0,DOWNTOWN,1.0,5.0,Mid-Rise Multifamily,59440,0,50.6,2504797.0,124.8,0.0,1991,54.62
676,Multifamily LR (1-4),Compliant,,429609.0,Multifamily Housing,0.0,SOUTHWEST,1.0,4.0,Low-Rise Multifamily,22445,0,20.5,429591.0,64.2,0.0,1978,2.99
677,Multifamily LR (1-4),Compliant,18.0,1040521.0,Multifamily Housing,0.0,SOUTHWEST,1.0,4.0,Low-Rise Multifamily,45878,0,22.7,1040478.0,71.2,0.0,1989,7.25
678,Multifamily MR (5-9),Compliant,91.0,700053.0,Multifamily Housing,356075.0,SOUTHWEST,1.0,5.0,Mid-Rise Multifamily,37824,0,27.9,1056099.0,68.0,0.0,1995,23.79
679,Multifamily LR (1-4),Compliant,98.0,672981.0,Multifamily Housing,0.0,SOUTHWEST,1.0,4.0,Low-Rise Multifamily,38765,0,17.4,672953.0,54.5,0.0,1976,4.69
680,SPS-District K-12,Compliant,94.0,724742.0,K-12 School,1184634.0,SOUTHWEST,1.0,2.0,K-12 School,51489,0,37.1,1909346.0,68.4,0.0,1954,67.97
681,Multifamily LR (1-4),Compliant,,563807.0,Multifamily Housing,305915.0,MAGNOLIA / QUEEN ANNE,1.0,4.0,Low-Rise Multifamily,26815,0,38.3,869699.0,92.0,0.0,2002,20.18
682,Multifamily MR (5-9),Compliant,,342585.0,Multifamily Housing,355878.0,SOUTHWEST,1.0,5.0,Mid-Rise Multifamily,22529,0,31.0,698449.0,64.3,0.0,2007,21.29
683,Multifamily MR (5-9),Compliant,59.0,1921564.0,Multifamily Housing,2125382.0,EAST,1.0,8.0,Mid-Rise Multifamily,88424,60050,62.8,4046866.0,128.3,0.0,1991,126.27
684,NonResidential,Compliant,37.0,664500.0,Distribution Center,1818848.0,GREATER DUWAMISH,1.0,1.0,"Distribution Center
",48001,0,51.7,2483320.0,83.3,0.0,1967,101.23
685,NonResidential,Compliant,,483613.0,Non-Refrigerated Warehouse,202462.0,GREATER DUWAMISH,1.0,1.0,Non-Refrigerated Warehouse,26380,0,26.0,686055.0,65.6,0.0,1979,14.12
686,NonResidential,Compliant,8.0,1317122.0,Non-Refrigerated Warehouse,1148198.0,GREATER DUWAMISH,1.0,1.0,Non-Refrigerated Warehouse,37351,0,63.0,2465266.0,136.5,0.0,1969,70.16
687,NonResidential,Compliant,74.0,338154.0,Non-Refrigerated Warehouse,0.0,GREATER DUWAMISH,1.0,1.0,Non-Refrigerated Warehouse,30375,0,11.1,338141.0,34.7,0.0,1981,2.36
688,NonResidential,Compliant,,451757.0,Non-Refrigerated Warehouse,0.0,GREATER DUWAMISH,1.0,1.0,Non-Refrigerated Warehouse,30004,0,15.5,451738.0,48.5,0.0,1979,3.15
689,Multifamily LR (1-4),Compliant,77.0,577625.0,Multifamily Housing,0.0,SOUTHWEST,1.0,3.0,Low-Rise Multifamily,21991,10244,26.3,577601.0,82.5,0.0,1990,4.03
690,Multifamily HR (10+),Compliant,,2990454.0,Multifamily Housing,957966.0,DOWNTOWN,1.0,13.0,High-Rise Multifamily,120405,0,37.1,3948297.0,97.6,0.0,2004,71.72
691,NonResidential,Compliant,,3620620.0,Other,6682834.0,NORTHEAST,1.0,3.0,Other,39971,0,257.8,10303305.0,460.0,0.0,1928,380.17
692,Multifamily LR (1-4),Compliant,77.0,654340.0,Multifamily Housing,0.0,LAKE UNION,1.0,4.0,Low-Rise Multifamily,23976,0,27.3,654313.0,85.7,0.0,1988,4.56
693,NonResidential,Compliant,95.0,121667.0,Worship Facility,318996.0,BALLARD,1.0,2.0,Worship Facility,33589,0,13.1,440658.0,21.3,0.0,1914,17.79
694,Multifamily MR (5-9),Compliant,88.0,3819043.0,Multifamily Housing,563357.0,BALLARD,1.0,6.0,Mid-Rise Multifamily,169149,0,29.6,4382240.0,84.9,0.0,2004,56.54
695,Multifamily MR (5-9),Compliant,59.0,496782.0,Multifamily Housing,193989.0,BALLARD,1.0,5.0,Mid-Rise Multifamily,25368,0,27.2,690750.0,69.5,0.0,1992,13.77
696,NonResidential,Compliant,43.0,3304126.0,Office,0.0,BALLARD,1.0,3.0,Small- and Mid-Sized Office,43500,0,76.0,3303989.0,238.5,0.0,1979,23.03
697,NonResidential,Compliant,9.0,1456421.0,Office,599262.0,BALLARD,1.0,2.0,Small- and Mid-Sized Office,28492,0,72.1,2055622.0,182.6,0.0,1978,41.98
698,NonResidential,Compliant,,1357172.0,Office,0.0,BALLARD,1.0,3.0,Small- and Mid-Sized Office,22325,0,60.8,1357116.0,190.9,0.0,1963,9.46
699,NonResidential,Compliant,,1834646.0,Restaurant,0.0,BALLARD,1.0,3.0,"Restaurant
",22719,0,80.8,1834570.0,253.6,0.0,1977,12.79
700,Multifamily HR (10+),Compliant,98.0,679305.0,Multifamily Housing,1291679.0,DOWNTOWN,1.0,14.0,High-Rise Multifamily,50141,0,58.6,1970956.0,103.8,0.0,1928,73.34
701,NonResidential,Compliant,1.0,8273532.0,Medical Office,6056552.0,DOWNTOWN,1.0,2.0,Medical Office,22588,22000,215.2,14329739.0,485.6,0.0,1946,379.34
702,NonResidential,Compliant,,133885.0,Office,0.0,DOWNTOWN,1.0,3.0,Small- and Mid-Sized Office,21600,0,6.2,133880.0,19.5,0.0,1929,0.93
703,NonResidential,Compliant,86.0,688567.0,Office,152704.0,DOWNTOWN,1.0,2.0,Small- and Mid-Sized Office,28568,0,29.4,841242.0,81.3,0.0,1937,12.91
704,Multifamily MR (5-9),Compliant,,2135553.0,Multifamily Housing,1946486.0,DOWNTOWN,1.0,6.0,Mid-Rise Multifamily,114212,25837,39.5,4081951.0,84.7,0.0,1993,118.27
705,Multifamily MR (5-9),Compliant,88.0,699846.0,Multifamily Housing,1885370.0,EAST,1.0,5.0,Mid-Rise Multifamily,58954,0,43.9,2585187.0,70.9,0.0,1925,105.01
706,Multifamily MR (5-9),Compliant,96.0,730169.0,Multifamily Housing,508264.0,EAST,1.0,5.0,Mid-Rise Multifamily,37992,0,32.6,1238402.0,74.4,0.0,1916,32.08
707,Multifamily MR (5-9),Compliant,,1006663.0,Multifamily Housing,0.0,MAGNOLIA / QUEEN ANNE,1.0,5.0,Mid-Rise Multifamily,62876,0,19.4,1006621.0,61.0,0.0,2003,7.02
708,Multifamily LR (1-4),Compliant,,960060.0,Multifamily Housing,397533.0,EAST,1.0,4.0,Low-Rise Multifamily,40562,0,36.3,1357553.0,91.8,0.0,2006,27.81
709,Multifamily MR (5-9),Compliant,100.0,427801.0,Multifamily Housing,851986.0,EAST,1.0,5.0,Mid-Rise Multifamily,40489,0,31.6,1279769.0,55.3,0.0,1910,48.23
710,Multifamily LR (1-4),Compliant,66.0,819348.0,Multifamily Housing,0.0,EAST,1.0,3.0,Low-Rise Multifamily,28500,6300,28.7,819314.0,90.3,0.0,1925,5.71
711,Multifamily LR (1-4),Compliant,98.0,478113.0,Multifamily Housing,280781.0,EAST,1.0,3.0,Low-Rise Multifamily,24169,3889,31.4,758875.0,74.3,0.0,1928,18.25
712,Multifamily HR (10+),Compliant,64.0,2618373.0,Multifamily Housing,2132023.0,DOWNTOWN,1.0,13.0,High-Rise Multifamily,106066,0,38.0,4750287.0,83.6,0.0,2003,131.48
713,Multifamily MR (5-9),Compliant,,3072266.0,,147444.0,DOWNTOWN,1.0,9.0,Mid-Rise Multifamily,86560,0,36.3,3219583.0,110.5,0.0,1925,29.25
714,Multifamily HR (10+),Compliant,15.0,4337743.0,,0.0,DOWNTOWN,1.0,13.0,High-Rise Multifamily,79235,12365,54.7,4337562.0,171.9,0.0,1978,30.24
715,Multifamily MR (5-9),Compliant,81.0,2437132.0,Multifamily Housing,216825.0,DOWNTOWN,1.0,6.0,Mid-Rise Multifamily,95456,46607,37.3,2653856.0,110.8,0.0,2001,28.51
716,Multifamily MR (5-9),Compliant,76.0,4063949.0,Multifamily Housing,344152.0,DOWNTOWN,1.0,8.0,Mid-Rise Multifamily,135433,53284,32.5,4407932.0,96.9,0.0,1992,46.61
717,Multifamily LR (1-4),Compliant,90.0,429824.0,Multifamily Housing,1117750.0,DOWNTOWN,1.0,3.0,Low-Rise Multifamily,33400,0,47.6,1547556.0,77.5,0.0,1924,62.36
718,Multifamily MR (5-9),Compliant,43.0,928781.0,Multifamily Housing,1099841.0,DOWNTOWN,1.0,7.0,Mid-Rise Multifamily,85042,3102,23.0,2028584.0,46.2,0.0,1994,64.89
719,SPS-District K-12,Compliant,,,K-12 School,,CENTRAL,1.0,2.0,K-12 School,37327,0,,,,,1925,
720,Multifamily LR (1-4),Compliant,86.0,704661.0,Multifamily Housing,491871.0,MAGNOLIA / QUEEN ANNE,1.0,3.0,Low-Rise Multifamily,37619,0,31.8,1196503.0,72.5,0.0,2000,31.04
721,NonResidential,Compliant,59.0,4231639.0,Retail Store,2964732.0,DOWNTOWN,1.0,2.0,Retail Store,147545,0,48.8,7196194.0,111.2,0.0,1917,186.96
722,Nonresidential COS,Compliant,,1109970.0,Other,0.0,NORTH,1.0,2.0,Other,21462,0,42.7,1109924.0,134.2,0.0,1923,7.74
723,Multifamily LR (1-4),Compliant,97.0,522603.0,Multifamily Housing,255114.0,MAGNOLIA / QUEEN ANNE,1.0,3.0,Low-Rise Multifamily,24178,0,22.6,777696.0,55.4,0.0,1993,17.19
724,Multifamily LR (1-4),Compliant,,1834074.0,Multifamily Housing,2136756.0,GREATER DUWAMISH,1.0,3.0,Low-Rise Multifamily,107518,0,36.9,3970754.0,74.4,0.0,1918,126.27
725,Multifamily MR (5-9),Compliant,,653728.0,Multifamily Housing,242471.0,SOUTHWEST,1.0,6.0,Mid-Rise Multifamily,30720,0,29.2,896172.0,75.1,0.0,1997,17.43
726,Multifamily HR (10+),Compliant,100.0,2135382.0,Multifamily Housing,248439.0,DOWNTOWN,1.0,24.0,High-Rise Multifamily,167941,0,17.2,2383733.0,50.2,0.0,1982,28.08
727,Multifamily LR (1-4),Compliant,69.0,948696.0,Multifamily Housing,0.0,SOUTHWEST,1.0,4.0,Low-Rise Multifamily,38970,0,24.3,948657.0,76.4,0.0,1986,6.61
728,Multifamily MR (5-9),Compliant,91.0,532692.0,Multifamily Housing,0.0,BALLARD,1.0,5.0,Mid-Rise Multifamily,24648,0,21.6,532670.0,67.9,0.0,1989,3.71
729,Multifamily LR (1-4),Compliant,51.0,639351.0,Multifamily Housing,0.0,MAGNOLIA / QUEEN ANNE,1.0,4.0,Low-Rise Multifamily,34270,0,30.2,639325.0,95.0,0.0,1988,4.46
730,Multifamily LR (1-4),Compliant,,403277.0,Multifamily Housing,0.0,SOUTHWEST,1.0,4.0,Low-Rise Multifamily,20837,0,19.4,403260.0,60.8,0.0,1984,2.81
731,SPS-District K-12,Compliant,85.0,747126.0,K-12 School,1257900.0,NORTHWEST,1.0,2.0,K-12 School,47602,0,42.1,2004995.0,77.0,0.0,1930,72.02
732,NonResidential,Compliant,,171279.0,Social/Meeting Hall,1012136.0,NORTHWEST,1.0,2.0,Other,28072,0,49.6,1183408.0,67.2,0.0,1917,54.95
733,Multifamily LR (1-4),Compliant,38.0,612023.0,Multifamily Housing,0.0,EAST,1.0,4.0,Low-Rise Multifamily,24864,0,24.6,611997.0,77.3,0.0,1986,4.27
734,Multifamily MR (5-9),Compliant,93.0,1045381.0,Multifamily Housing,0.0,DOWNTOWN,1.0,5.0,Mid-Rise Multifamily,39050,0,26.8,1045337.0,84.1,0.0,1990,7.29
735,Multifamily MR (5-9),Compliant,18.0,2365589.0,Multifamily Housing,612832.0,DOWNTOWN,1.0,8.0,Mid-Rise Multifamily,77800,0,64.3,2978323.0,174.3,0.0,1980,49.04
736,NonResidential,Compliant,,1202102.0,Restaurant,4565713.0,DOWNTOWN,1.0,2.0,"Restaurant
",31020,0,185.9,5767765.0,276.2,0.0,1955,250.87
737,NonResidential,Compliant,,1355575.0,Office,588253.0,DOWNTOWN,1.0,2.0,Small- and Mid-Sized Office,21600,0,90.0,1943772.0,225.6,0.0,1917,40.69
738,NonResidential,Compliant,,267409.0,Other,362642.0,DOWNTOWN,1.0,1.0,Other,23000,0,27.4,630040.0,53.1,0.0,1946,21.12
739,NonResidential,Compliant,51.0,2083115.0,Office,2652221.0,DOWNTOWN,1.0,5.0,Small- and Mid-Sized Office,48505,13320,114.0,4735249.0,224.5,0.0,1974,155.38
740,Multifamily HR (10+),Compliant,93.0,8967760.0,Multifamily Housing,5809355.0,DOWNTOWN,1.0,16.0,High-Rise Multifamily,409137,181732,36.1,14776743.0,83.7,0.0,2001,371.05
741,Multifamily MR (5-9),Compliant,56.0,2671225.0,Multifamily Housing,0.0,DOWNTOWN,1.0,7.0,Mid-Rise Multifamily,94595,50680,25.9,2671115.0,81.4,0.0,2001,18.62
742,NonResidential,Compliant,91.0,1390446.0,Office,1065744.0,DOWNTOWN,1.0,3.0,Small- and Mid-Sized Office,64630,0,38.0,2456132.0,84.9,0.0,1942,66.29
743,NonResidential,Compliant,11.0,310391.0,Worship Facility,826298.0,DOWNTOWN,1.0,2.0,Worship Facility,20920,0,54.3,1136676.0,88.1,0.0,1948,46.05
744,Multifamily LR (1-4),Compliant,23.0,785899.0,Multifamily Housing,1076885.0,DOWNTOWN,1.0,3.0,Low-Rise Multifamily,26640,0,69.9,1862752.0,135.1,0.0,1903,62.67
745,Multifamily MR (5-9),Compliant,,1133762.0,Multifamily Housing,2411697.0,DOWNTOWN,1.0,7.0,Mid-Rise Multifamily,40329,0,89.9,3545412.0,154.5,0.0,2009,135.99
746,NonResidential,Compliant,62.0,841876.0,Office,0.0,DOWNTOWN,1.0,3.0,Small- and Mid-Sized Office,20565,0,40.9,841841.0,128.5,0.0,1925,5.87
747,Multifamily LR (1-4),Compliant,90.0,918215.0,Multifamily Housing,0.0,DOWNTOWN,1.0,4.0,Low-Rise Multifamily,34880,0,22.4,918177.0,70.3,0.0,1987,6.4
748,Multifamily LR (1-4),Compliant,98.0,696392.0,Multifamily Housing,1087870.0,DOWNTOWN,1.0,4.0,Low-Rise Multifamily,56776,0,35.1,1784233.0,65.5,0.0,1902,62.63
749,Multifamily MR (5-9),Compliant,89.0,2253788.0,Multifamily Housing,613739.0,DOWNTOWN,1.0,6.0,Mid-Rise Multifamily,77887,34789,36.8,2867434.0,99.1,0.0,1990,48.31
750,NonResidential,Compliant,97.0,133979.0,Worship Facility,400065.0,SOUTHWEST,1.0,2.0,Worship Facility,22128,0,24.1,534039.0,38.0,0.0,1926,22.18
751,Multifamily LR (1-4),Compliant,8.0,1027253.0,Multifamily Housing,245062.0,SOUTHWEST,1.0,4.0,Low-Rise Multifamily,26880,0,47.3,1272272.0,129.6,0.0,1973,20.18
752,Multifamily LR (1-4),Compliant,93.0,481226.0,Multifamily Housing,0.0,LAKE UNION,1.0,4.0,Low-Rise Multifamily,23098,0,20.8,481206.0,65.4,0.0,1987,3.35
753,NonResidential,Compliant,98.0,471514.0,Retail Store,295719.0,NORTHWEST,1.0,1.0,Retail Store,48139,0,19.2,767213.0,44.8,0.0,1968,18.99
754,NonResidential,Compliant,,1015109.0,Other - Education,158583.0,NORTHWEST,1.0,1.0,Other,29924,0,39.2,1173650.0,112.1,0.0,2002,15.5
755,Multifamily MR (5-9),Compliant,97.0,4433532.0,Multifamily Housing,0.0,NORTHWEST,1.0,5.0,Mid-Rise Multifamily,171306,43082,25.9,4433348.0,81.3,0.0,1993,30.91
756,NonResidential,Compliant,,2213351.0,Other,4080100.0,NORTHWEST,1.0,1.0,Other,21633,0,605.1,6293359.0,1080.2,0.0,1968,232.12
757,Multifamily LR (1-4),Compliant,86.0,1039826.0,Multifamily Housing,0.0,NORTHWEST,1.0,4.0,Low-Rise Multifamily,5236,37992,24.1,1039782.0,75.5,0.0,1990,7.25
758,Multifamily MR (5-9),Compliant,84.0,520760.0,Multifamily Housing,0.0,EAST,1.0,5.0,Mid-Rise Multifamily,23231,0,23.6,520738.0,74.2,0.0,1967,3.63
759,NonResidential,Compliant,84.0,189420.0,Worship Facility,758472.0,SOUTHWEST,1.0,2.0,Worship Facility,21364,0,44.4,947884.0,65.1,0.0,1949,41.6
760,Multifamily MR (5-9),Compliant,,469361.0,Multifamily Housing,2596160.0,MAGNOLIA / QUEEN ANNE,1.0,6.0,Mid-Rise Multifamily,172125,36000,35.2,3065502.0,48.3,0.0,1999,141.15
761,Multifamily MR (5-9),Compliant,84.0,1027560.0,Multifamily Housing,48275.0,EAST,1.0,6.0,Mid-Rise Multifamily,39251,0,31.9,1075793.0,97.2,0.0,1923,9.73
762,Multifamily MR (5-9),Compliant,76.0,1415752.0,Multifamily Housing,442195.0,EAST,1.0,5.0,Mid-Rise Multifamily,44715,0,41.5,1857889.0,109.8,0.0,1992,33.35
763,Multifamily MR (5-9),Compliant,,355061.0,Multifamily Housing,76310.0,MAGNOLIA / QUEEN ANNE,1.0,5.0,Mid-Rise Multifamily,21715,0,19.9,431357.0,55.0,0.0,1990,6.53
764,Multifamily MR (5-9),Compliant,79.0,1884053.0,Multifamily Housing,410345.0,LAKE UNION,1.0,7.0,Mid-Rise Multifamily,62659,23866,36.6,2294320.0,101.3,0.0,1994,34.93
765,Multifamily LR (1-4),Compliant,99.0,657053.0,Multifamily Housing,901015.0,LAKE UNION,1.0,3.0,Low-Rise Multifamily,56652,0,27.5,1558041.0,53.1,0.0,1916,52.43
766,Multifamily MR (5-9),Compliant,81.0,527460.0,Multifamily Housing,0.0,MAGNOLIA / QUEEN ANNE,1.0,5.0,Mid-Rise Multifamily,20798,0,25.4,527438.0,79.6,0.0,1996,3.68
767,Multifamily LR (1-4),Not Compliant,,,,,NORTHEAST,1.0,3.0,Low-Rise Multifamily,33166,0,,,,,1977,
768,Multifamily LR (1-4),Compliant,72.0,520297.0,Multifamily Housing,0.0,EAST,1.0,3.0,Low-Rise Multifamily,19542,754,26.6,520275.0,83.6,0.0,1965,3.63
769,Multifamily LR (1-4),Compliant,,203579.0,Other,467208.0,DOWNTOWN,1.0,3.0,Other,30700,0,21.8,670779.0,36.8,0.0,1909,26.23
770,Multifamily LR (1-4),Compliant,57.0,864801.0,Multifamily Housing,0.0,MAGNOLIA / QUEEN ANNE,1.0,4.0,Low-Rise Multifamily,31537,0,35.4,864765.0,111.0,0.0,1988,6.03
771,Multifamily MR (5-9),Compliant,32.0,1670998.0,Multifamily Housing,0.0,EAST,1.0,5.0,Mid-Rise Multifamily,48744,0,34.3,1670929.0,107.6,0.0,1980,11.65
772,Multifamily MR (5-9),Compliant,,327538.0,Multifamily Housing,205804.0,LAKE UNION,1.0,5.0,Mid-Rise Multifamily,23931,0,24.1,533329.0,56.3,0.0,2010,13.21
773,Multifamily LR (1-4),Compliant,,826425.0,Multifamily Housing,1273.0,MAGNOLIA / QUEEN ANNE,1.0,4.0,Low-Rise Multifamily,39966,0,22.6,827664.0,71.0,0.0,1999,5.83
774,Multifamily MR (5-9),Compliant,,2261054.0,Multifamily Housing,421084.0,MAGNOLIA / QUEEN ANNE,1.0,7.0,Mid-Rise Multifamily,72763,0,36.9,2682044.0,103.6,0.0,1999,38.13
775,Multifamily LR (1-4),Compliant,50.0,1396249.0,Multifamily Housing,0.0,GREATER DUWAMISH,1.0,4.0,Low-Rise Multifamily,59600,0,23.4,1396191.0,73.6,0.0,1980,9.73
776,Multifamily LR (1-4),Compliant,95.0,603401.0,Multifamily Housing,0.0,MAGNOLIA / QUEEN ANNE,1.0,4.0,Low-Rise Multifamily,32170,8778,18.8,603376.0,58.9,0.0,1978,4.21
777,NonResidential,Compliant,,190991.0,College/University,265414.0,DOWNTOWN,1.0,2.0,College/University,28923,0,15.8,456397.0,30.5,0.0,1992,15.43
778,Multifamily MR (5-9),Compliant,87.0,1276889.0,Multifamily Housing,2333388.0,DOWNTOWN,1.0,7.0,Mid-Rise Multifamily,47151,18059,63.7,3610224.0,114.1,0.0,1992,132.83
779,NonResidential,Compliant,,228983.0,College/University,86495.0,DOWNTOWN,1.0,3.0,College/University,21600,0,14.6,315468.0,37.5,0.0,1928,6.19
780,Multifamily LR (1-4),Compliant,61.0,362244.0,Multifamily Housing,760608.0,EAST,1.0,3.0,Low-Rise Multifamily,21712,0,51.7,1122837.0,89.2,0.0,1925,42.92
781,Multifamily MR (5-9),Compliant,79.0,1175022.0,Multifamily Housing,549587.0,EAST,1.0,5.0,Mid-Rise Multifamily,46413,6819,36.4,1724560.0,90.0,0.0,1908,37.38
782,NonResidential,Compliant,89.0,1041854.0,,189334.0,NORTHEAST,1.0,1.0,Retail Store,25735,0,47.8,1231145.0,134.8,0.0,1996,17.32
783,Multifamily LR (1-4),Compliant,56.0,1695800.0,Multifamily Housing,0.0,NORTHEAST,1.0,4.0,Low-Rise Multifamily,57856,0,29.3,1695729.0,92.0,0.0,1984,11.82
784,NonResidential,Compliant,13.0,2436289.0,Retail Store,3026770.0,NORTHEAST,1.0,2.0,Retail Store,25862,0,211.2,5462958.0,418.7,0.0,1956,177.74
785,NonResidential,Compliant,80.0,3356264.0,Retail Store,110336.0,NORTHEAST,1.0,2.0,Retail Store,49965,0,69.4,3466461.0,213.2,0.0,2003,29.26
